anno,area_geografica,regione,lav_att,lav_ces,lavoratori_att,lavoratori_ces,ass_TI,ass_TD,apprendistato,stagionali(solo per somma),avv_per_lav,ces_per_lav
2016,nord_ovest,liguria,186291,179016,133207,129489,25207,108857,7674,13433,1.23,1.38
2016,nord_ovest,lombardia,1385809,1307458,876900,832909,264730,765310,40954,41674,1.39,1.57
2016,nord_est,trentino_alto_adige,276740,265270,189399,184146,18582,75471,6090,78951,1.2,1.44
2016,nord_est,veneto,627576,589059,444760,422511,92354,330570,29707,67929,1.23,1.39
2016,nord_est,friuli_venezia_giulia,136348,130014,100645,97908,18027,77019,4546,9600,1.19,1.33
2016,nord_est,emilia_romagna,724629,686107,484448,463456,85912,337770,24668,72553,1.3,1.48
2016,centro,toscana,569086,534395,377718,356641,84283,240502,20299,38782,1.31,1.50
2016,centro,umbria,120809,117726,73758,72831,12875,44885,4734,2868,1.41,1.62
2016,centro,marche,192231,185324,133753,130903,24201,105274,8527,15151,1.24,1.42
2016,centro,lazio,1375590,1337252,581524,560348,141511,453416,23767,30631,2.05,2.39
2016,sud,abruzzo,193465,189215,128445,127148,28961,101360,3566,10711,1.3,1.49
2016,sud,molise,37099,36626,25738,25441,5711,12498,420,851,1.24,1.44
2016,sud,campania,705863,688543,460597,447370,143672,244831,12435,50019,1.36,1.54
2016,sud,puglia,1025456,1013037,471166,462688,79302,208441,10310,29669,1.69,2.19
2016,sud,basilicata,124040,122332,74057,72341,11809,35670,1361,3455,1.4,1.69
2016,sud,calabria,320754,318319,227283,225367,32533,56992,3772,12783,1.26,1.41
2016,isole,sicilia,715499,713500,436418,434160,98320,190162,12760,23535,1.38,1.64
2016,isole,sardegna,241578,236801,165238,164513,24534,84729,1750,34686,1.25,1.44
