regione,anno,trimestre,lav_att,avv_per_lav,lav_ces,ces_per_lav
piemonte,2013,I 2013,122551,1.260942484,100085,1.288095238
piemonte,2013,II 2013,109613,1.274273425,118010,1.277689959
piemonte,2013,III 2013,124967,1.173310925,110648,1.132145744
piemonte,2013,IV 2013,110443,1.287139444,148331,1.226474066
piemonte,2014,I 2014,124451,1.266818677,97115,1.29746159
piemonte,2014,II 2014,114986,1.261253949,121479,1.287249261
piemonte,2014,III 2014,125965,1.174630262,113073,1.136583405
piemonte,2014,IV 2014,113968,1.317168448,159422,1.22414786
piemonte,2015,I 2015,135809,1.27037089,103856,1.313867874
piemonte,2015,II 2015,125102,1.247054367,125686,1.289483944
piemonte,2015,III 2015,122894,1.145683202,109441,1.121103474
piemonte,2015,IV 2015,127107,1.18826015,147192,1.167940203
piemonte,2016,I 2016,106916,1.153964879,78565,1.169226419
piemonte,2016,II 2016,100431,1.163365304,104948,1.190075522
piemonte,2016,III 2016,118438,1.143234973,102558,1.12097497
piemonte,2016,IV 2016,119867,1.190101271,140900,1.161659466
valle_d'aosta,2013,I 2013,5344,1.373425855,5634,1.343347639
valle_d'aosta,2013,II 2013,7138,1.275098249,8633,1.246102771
valle_d'aosta,2013,III 2013,6528,1.19276448,7488,1.143380669
valle_d'aosta,2013,IV 2013,8932,1.23353128,6890,1.286407767
valle_d'aosta,2014,I 2014,5923,1.540041602,6343,1.444874715
valle_d'aosta,2014,II 2014,7560,1.361426256,8685,1.320711679
valle_d'aosta,2014,III 2014,6201,1.19965177,7103,1.153833658
valle_d'aosta,2014,IV 2014,8674,1.262039866,6689,1.325604439
valle_d'aosta,2015,I 2015,5230,1.457636566,5230,1.461710453
valle_d'aosta,2015,II 2015,7215,1.317567568,8405,1.295268917
valle_d'aosta,2015,III 2015,6274,1.179545027,6946,1.139996718
valle_d'aosta,2015,IV 2015,8407,1.158946788,5763,1.207922867
valle_d'aosta,2016,I 2016,4417,1.260199715,4656,1.247922809
valle_d'aosta,2016,II 2016,6507,1.226347531,7174,1.207744108
valle_d'aosta,2016,III 2016,6086,1.139486987,7078,1.10611033
valle_d'aosta,2016,IV 2016,9259,1.137609043,5734,1.188640133
lombardia,2013,I 2013,354541,1.289174369,290770,1.319744194
lombardia,2013,II 2013,319145,1.330358408,345997,1.32045308
lombardia,2013,III 2013,331605,1.241473423,312408,1.212514506
