regione,anno,trimestre,lav_att,avv_per_lav,lav_ces,ces_per_lav
lombardia,2013,IV 2013,322945,1.367773495,393507,1.298805846
lombardia,2014,I 2014,359958,1.305098818,283521,1.335460806
lombardia,2014,II 2014,347964,1.346844458,358136,1.352048444
lombardia,2014,III 2014,345957,1.250043359,322544,1.221766832
lombardia,2014,IV 2014,346375,1.395969773,421589,1.312204505
lombardia,2015,I 2015,386962,1.307440982,306546,1.354510306
lombardia,2015,II 2015,374213,1.305752509,371548,1.337191433
lombardia,2015,III 2015,349856,1.246862849,324134,1.231348415
lombardia,2015,IV 2015,384201,1.282067454,414219,1.257583256
lombardia,2016,I 2016,334556,1.257034646,259962,1.299290284
lombardia,2016,II 2016,332458,1.316644489,333834,1.336544236
lombardia,2016,III 2016,348109,1.255396877,320638,1.245244476
lombardia,2016,IV 2016,370686,1.327814593,393024,1.305914134
trentino_alto_adige,2013,I 2013,45585,1.19,45585,1.193530191
trentino_alto_adige,2013,II 2013,61375,1.130330244,61375,1.130330244
trentino_alto_adige,2013,III 2013,80086,1.118638724,80086,1.118638724
trentino_alto_adige,2013,IV 2013,76157,1.117025341,76157,1.117025341
trentino_alto_adige,2014,I 2014,41954,1.176555413,41954,1.176555413
trentino_alto_adige,2014,II 2014,72241,1.135325384,72241,1.135325384
trentino_alto_adige,2014,III 2014,93214,1.121505214,93214,1.121505214
trentino_alto_adige,2014,IV 2014,62463,1.116207384,62463,1.116207384
trentino_alto_adige,2015,I 2015,45559,1.148557645,45559,1.148557645
trentino_alto_adige,2015,II 2015,69979,1.114603507,69979,1.114603507
trentino_alto_adige,2015,III 2015,91307,1.112310657,91307,1.112310657
trentino_alto_adige,2015,IV 2015,65922,1.09899923,65922,1.09899923
trentino_alto_adige,2016,I 2016,45224,1.139230948,45224,1.139230948
trentino_alto_adige,2016,II 2016,67898,1.109132671,67898,1.109132671
trentino_alto_adige,2016,III 2016,90806,1.122933303,90806,1.122933303
trentino_alto_adige,2016,IV 2016,72812,1.099540304,72812,1.099540304
friuli_venezia_giulia,2013,I 2013,38096,1.28581072,30048,1.334754797
friuli_venezia_giulia,2013,II 2013,36562,1.232496208,38651,1.27
friuli_venezia_giulia,2013,III 2013,36637,1.148783394,37597,1.096250292
friuli_venezia_giulia,2013,IV 2013,32355,1.335383218,44272,1.244889351
friuli_venezia_giulia,2014,I 2014,35919,1.283554889,27727,1.325889441
friuli_venezia_giulia,2014,II 2014,38585,1.242193033,37567,1.305452271
friuli_venezia_giulia,2014,III 2014,35309,1.141430142,37123,1.088459509
friuli_venezia_giulia,2014,IV 2014,32531,1.354611701,45976,1.236213062
friuli_venezia_giulia,2015,I 2015,40162,1.301594504,30620,1.370144979
friuli_venezia_giulia,2015,II 2015,40253,1.216102719,37772,1.281405842
friuli_venezia_giulia,2015,III 2015,37047,1.123283102,37142,1.079897657
friuli_venezia_giulia,2015,IV 2015,36099,1.183923125,42663,1.150597373
friuli_venezia_giulia,2016,I 2016,32380,1.131020993,21290,1.162117904
friuli_venezia_giulia,2016,II 2016,33258,1.117352595,32505,1.17435601
friuli_venezia_giulia,2016,III 2016,35846,1.103836916,35603,1.076985904
friuli_venezia_giulia,2016,IV 2016,34864,1.154054949,40616,1.117266801
liguria,2013,I 2013,49930,1.217300144,39154,1.245593943
liguria,2013,II 2013,56533,1.209831364,50336,1.244892912
liguria,2013,III 2013,47236,1.160960503,56493,1.117168961
liguria,2013,IV 2013,45836,1.277017803,56598,1.203163198
liguria,2014,I 2014,47892,1.24304402,39013,1.263415266
liguria,2014,II 2014,60885,1.229776404,50640,1.29117797
liguria,2014,III 2014,46151,1.165458724,53349,1.118732569
liguria,2014,IV 2014,43819,1.307210405,57100,1.208977345
liguria,2015,I 2015,51882,1.270372184,41279,1.313195903
liguria,2015,II 2015,60693,1.207316345,50005,1.288556188
liguria,2015,III 2015,46915,1.145805349,52945,1.112103008
liguria,2015,IV 2015,48524,1.20296502,55038,1.151061382
liguria,2016,I 2016,44334,1.151771797,33017,1.173896039
liguria,2016,II 2016,52744,1.158877683,44066,1.223987556
liguria,2016,III 2016,43789,1.130359586,49920,1.104302621
liguria,2016,IV 2016,45424,1.192606595,52013,1.136846477
emilia_romagna,2013,I 2013,209188,1.266923054,139994,1.340502135
emilia_romagna,2013,II 2013,211117,1.2710847,183155,1.301482292
emilia_romagna,2013,III 2013,188357,1.163890159,203231,1.122655736
emilia_romagna,2013,IV 2013,158020,1.342257936,243317,1.257549681
emilia_romagna,2014,I 2014,213702,1.291172739,144041,1.369536487
emilia_romagna,2014,II 2014,222561,1.293042145,189157,1.31987803
emilia_romagna,2014,III 2014,193517,1.170956772,208605,1.136719069
emilia_romagna,2014,IV 2014,158029,1.366914627,247548,1.26086425
emilia_romagna,2015,I 2015,221572,1.300740271,148992,1.399866583
emilia_romagna,2015,II 2015,220609,1.264155268,186662,1.306150724
emilia_romagna,2015,III 2015,189747,1.151433322,198901,1.116800207
emilia_romagna,2015,IV 2015,169709,1.256470815,234347,1.222684253
emilia_romagna,2016,I 2016,182083,1.188546848,112388,1.230988291
emilia_romagna,2016,II 2016,196593,1.204200764,160541,1.244436348
emilia_romagna,2016,III 2016,182269,1.158734901,193417,1.124321339
emilia_romagna,2016,IV 2016,163684,1.229883762,219761,1.207703637
toscana,2013,I 2013,147732,1.268162035,112111,1.320413163
toscana,2013,II 2013,159270,1.259638883,136039,1.317301082
toscana,2013,III 2013,141744,1.204333234,147531,1.160272744
toscana,2013,IV 2013,141808,1.310416205,192541,1.24
toscana,2014,I 2014,149802,1.28885218,111007,1.352737598
toscana,2014,II 2014,174480,1.284036384,143569,1.356907926
toscana,2014,III 2014,148686,1.215003064,151194,1.178184028
toscana,2014,IV 2014,139389,1.393207328,195692,1.271586006
toscana,2015,I 2015,163455,1.327089829,122119,1.408377446
toscana,2015,II 2015,180029,1.280306371,150176,1.369182097
toscana,2015,III 2015,144538,1.185884708,147055,1.152188732
toscana,2015,IV 2015,153380,1.260198339,188892,1.217370009
toscana,2016,I 2016,136667,1.218272256,95000,1.27
toscana,2016,II 2016,153268,1.203451714,125271,1.279058607
toscana,2016,III 2016,136757,1.172239699,138377,1.147671101
toscana,2016,IV 2016,142394,1.266422384,175747,1.21369723
umbria,2013,I 2013,34606,1.324580877,27194,1.352800716
umbria,2013,II 2013,32541,1.360921751,33158,1.383601085
umbria,2013,III 2013,30741,1.238807173,28910,1.194973753
umbria,2013,IV 2013,30914,1.404479578,44329,1.302262045
umbria,2014,I 2014,36415,1.368162008,27609,1.4149754
umbria,2014,II 2014,32976,1.340869353,32829,1.397276016
umbria,2014,III 2014,30707,1.230346983,27787,1.195808409
umbria,2014,IV 2014,30471,1.455505135,46533,1.318140615
umbria,2015,I 2015,38963,1.396673477,28540,1.487000469
umbria,2015,II 2015,33909,1.367022778,33670,1.440058167
umbria,2015,III 2015,30454,1.243934319,27088,1.209771783
umbria,2015,IV 2015,34664,1.329803967,43651,1.292023087
umbria,2016,I 2016,30769,1.295482295,21342,1.343700812
umbria,2016,II 2016,28491,1.305369743,28150,1.356691889
umbria,2016,III 2016,28994,1.267996151,26291,1.244014384
umbria,2016,IV 2016,32555,1.389161511,41943,1.303751826
marche,2013,I 2013,52453,1.215624928,40025,1.232334739
marche,2013,II 2013,59574,1.229090159,56226,1.269553829
marche,2013,III 2013,56574,1.210242588,64762,1.146656279
marche,2013,IV 2013,44951,1.257968824,64202,1.194722543
marche,2014,I 2014,53759,1.22165663,39628,1.249976343
marche,2014,II 2014,59589,1.226893698,53159,1.281990064
marche,2014,III 2014,54238,1.193092829,60859,1.136765228
marche,2014,IV 2014,43746,1.285475008,65080,1.2
marche,2015,I 2015,54141,1.232437969,40317,1.271508768
marche,2015,II 2015,59481,1.183489524,50458,1.256643339
marche,2015,III 2015,53000,1.161236607,57073,1.12
marche,2015,IV 2015,50410,1.222297658,60304,1.180856897
marche,2016,I 2016,45219,1.16199409,31443,1.192649067
marche,2016,II 2016,50763,1.139819472,43497,1.209425831
marche,2016,III 2016,47959,1.154859372,54035,1.112014323
marche,2016,IV 2016,48290,1.213652014,56349,1.174622697
lazio,2013,I 2013,354957,1.839736912,309702,2.018720464
lazio,2013,II 2013,372415,2.083743649,386061,2.04693962
lazio,2013,III 2013,304007,1.645264292,300889,1.601299607
lazio,2013,IV 2013,377341,2.073928935,418186,1.891491171
lazio,2014,I 2014,372087,1.898722744,320228,2.088815832
lazio,2014,II 2014,372884,1.960514624,377425,1.977237604
lazio,2014,III 2014,318270,1.653204652,311246,1.624016446
lazio,2014,IV 2014,387753,2.079717879,432502,1.873933596
lazio,2015,I 2015,396296,1.912643944,342851,2.112087871
lazio,2015,II 2015,426478,1.975139286,422347,2.047494849
lazio,2015,III 2015,327619,1.679632307,316685,1.678503851
lazio,2015,IV 2015,429075,1.791283111,432631,1.784163079
lazio,2016,I 2016,324751,1.772068252,275611,1.928725385
lazio,2016,II 2016,349236,1.898898948,348097,1.956282525
lazio,2016,III 2016,307641,1.663706716,301603,1.650430662
lazio,2016,IV 2016,393962,1.929767328,411941,1.860047501
abruzzo,2013,I 2013,52900,1.295045045,41838,1.346225626
abruzzo,2013,II 2013,59902,1.277555025,52218,1.343608481
abruzzo,2013,III 2013,55499,1.201745269,59422,1.15647503
abruzzo,2013,IV 2013,49864,1.336836461,71437,1.238612917
abruzzo,2014,I 2014,57441,1.318906135,44769,1.375560745
abruzzo,2014,II 2014,62473,1.294723535,53146,1.37680371
abruzzo,2014,III 2014,54297,1.20331095,57889,1.160588624
abruzzo,2014,IV 2014,51180,1.388610033,73724,1.261209477
abruzzo,2015,I 2015,56220,1.342342773,42555,1.430949259
abruzzo,2015,II 2015,65241,1.287033201,55034,1.37950569
abruzzo,2015,III 2015,53398,1.18498957,55104,1.149724587
abruzzo,2015,IV 2015,54194,1.240307594,64630,1.200074274
abruzzo,2016,I 2016,43367,1.203402059,32139,1.229636148
abruzzo,2016,II 2016,54119,1.186611998,43900,1.259142406
abruzzo,2016,III 2016,48739,1.154678986,52729,1.120153804
abruzzo,2016,IV 2016,47240,1.234354995,60447,1.179660818
molise,2013,I 2013,9682,1.19265829,7232,1.25
molise,2013,II 2013,10338,1.223287185,10047,1.26361464
molise,2013,III 2013,12070,1.203629836,11570,1.16281407
molise,2013,IV 2013,9536,1.25144357,14246,1.187859585
molise,2014,I 2014,10415,1.255424301,7805,1.277832351
molise,2014,II 2014,10767,1.253288325,10085,1.30482598
molise,2014,III 2014,12831,1.212187057,12002,1.179325931
molise,2014,IV 2014,9590,1.285522788,14401,1.212817922
molise,2015,I 2015,10145,1.265751716,7263,1.324639796
molise,2015,II 2015,10522,1.197859745,9480,1.261477046
molise,2015,III 2015,11780,1.189538524,10668,1.145003757
molise,2015,IV 2015,10720,1.16,13995,1.174175686
molise,2016,I 2016,8247,1.13127572,5326,1.142183144
molise,2016,II 2016,8733,1.158683826,8085,1.209605027
molise,2016,III 2016,11213,1.189077413,10611,1.158406114
molise,2016,IV 2016,8906,1.161450183,12604,1.165849598
campania,2013,I 2013,184395,1.309567774,140050,1.399674192
campania,2013,II 2013,207598,1.405471643,193070,1.47629607
campania,2013,III 2013,197082,1.313512217,185912,1.322878124
campania,2013,IV 2013,188841,1.401303048,254402,1.276042294
campania,2014,I 2014,197581,1.329106601,148312,1.421852381
campania,2014,II 2014,216259,1.37277667,192851,1.468367634
campania,2014,III 2014,195449,1.301249659,184494,1.302224795
campania,2014,IV 2014,191707,1.400824242,255156,1.263974478
campania,2015,I 2015,200996,1.311504933,146528,1.426202063
campania,2015,II 2015,218559,1.315851581,189200,1.412889254
campania,2015,III 2015,196457,1.26,179634,1.265661
campania,2015,IV 2015,207399,1.273300467,243242,1.222075965
campania,2016,I 2016,170626,1.24136777,120985,1.321099815
campania,2016,II 2016,187565,1.288654836,168504,1.371456477
campania,2016,III 2016,179363,1.242409969,170744,1.244716603
campania,2016,IV 2016,168309,1.308209489,228310,1.211624291
puglia,2013,I 2013,232873,1.395962091,166171,1.450641641
puglia,2013,II 2013,283755,1.457897684,253066,1.476740115
puglia,2013,III 2013,274849,1.382665432,271154,1.35806513
puglia,2013,IV 2013,210182,1.399888106,322911,1.366876905
puglia,2014,I 2014,241121,1.405904167,162745,1.477324304
puglia,2014,II 2014,283021,1.446582638,249012,1.476282792
puglia,2014,III 2014,296773,1.436294912,285519,1.416644339
puglia,2014,IV 2014,218861,1.420667943,334909,1.393926655
puglia,2015,I 2015,239435,1.407952534,163153,1.488092741
puglia,2015,II 2015,294102,1.438608849,253344,1.492066857
puglia,2015,III 2015,302862,1.456368384,288953,1.427153921
puglia,2015,IV 2015,236102,1.360904726,335651,1.400424737
puglia,2016,I 2016,237378,1.39,156070,1.426052155
puglia,2016,II 2016,282187,1.440743993,243219,1.489035141
puglia,2016,III 2016,286970,1.45,278906,1.413728432
puglia,2016,IV 2016,218921,1.38811497,334842,1.407159307
basilicata,2013,I 2013,29437,1.257937695,17490,1.330341523
basilicata,2013,II 2013,40390,1.322268055,33307,1.40892555
basilicata,2013,III 2013,32894,1.282017305,32568,1.258229022
basilicata,2013,IV 2013,24337,1.292047144,44587,1.228630477
basilicata,2014,I 2014,31678,1.286625239,17875,1.371728954
basilicata,2014,II 2014,39588,1.325343154,32438,1.419854679
basilicata,2014,III 2014,33528,1.31761377,32993,1.288034355
basilicata,2014,IV 2014,24859,1.323554467,45868,1.23560153
basilicata,2015,I 2015,31238,1.267313076,17641,1.365191147
basilicata,2015,II 2015,40409,1.286664968,32024,1.397512546
basilicata,2015,III 2015,35295,1.251019034,32849,1.25502407
basilicata,2015,IV 2015,27923,1.238709964,45132,1.230693717
basilicata,2016,I 2016,30821,1.212184378,15874,1.228923125
basilicata,2016,II 2016,37872,1.275838836,32378,1.360477331
basilicata,2016,III 2016,30723,1.267868934,30134,1.244178365
basilicata,2016,IV 2016,24624,1.224343675,43946,1.218049281
calabria,2013,I 2013,71478,1.20426593,51282,1.253225806
calabria,2013,II 2013,82696,1.170519045,58515,1.295726306
calabria,2013,III 2013,91260,1.092934132,70484,1.107507621
calabria,2013,IV 2013,82588,1.205699436,149687,1.119891966
calabria,2014,I 2014,78406,1.240974344,54885,1.287957009
calabria,2014,II 2014,84779,1.180272866,60616,1.302729422
calabria,2014,III 2014,93772,1.10627153,72146,1.133373131
calabria,2014,IV 2014,84680,1.227086322,147318,1.127189257
calabria,2015,I 2015,78414,1.230235805,54783,1.314718376
calabria,2015,II 2015,86349,1.17638484,61685,1.320058208
calabria,2015,III 2015,96241,1.111109828,70957,1.137495992
calabria,2015,IV 2015,86966,1.179136047,145669,1.112138402
calabria,2016,I 2016,72103,1.179521994,48788,1.235545876
calabria,2016,II 2016,78793,1.144415396,57265,1.255563595
calabria,2016,III 2016,89229,1.09,70922,1.119226096
calabria,2016,IV 2016,80629,1.210136879,141344,1.113400763
sicilia,2013,I 2013,191656,1.344878884,138454,1.496104514
sicilia,2013,II 2013,210540,1.371926784,198828,1.42150982
sicilia,2013,III 2013,192434,1.258404776,182376,1.250889936
sicilia,2013,IV 2013,186983,1.360539317,281374,1.240740986
sicilia,2014,I 2014,206995,1.389591907,143411,1.564443814
sicilia,2014,II 2014,207457,1.385938659,198750,1.446496023
sicilia,2014,III 2014,198408,1.259853319,170911,1.286718815
sicilia,2014,IV 2014,193176,1.408101233,290728,1.264590103
sicilia,2015,I 2015,204106,1.365558953,139039,1.55253696
sicilia,2015,II 2015,204765,1.346447218,193409,1.4213934
sicilia,2015,III 2015,201444,1.245649835,167325,1.282754021
sicilia,2015,IV 2015,189257,1.254886749,275926,1.214906854
sicilia,2016,I 2016,173493,1.238634092,109802,1.362882606
sicilia,2016,II 2016,196666,1.270731298,173631,1.344611286
sicilia,2016,III 2016,181894,1.216316159,168517,1.226577285
sicilia,2016,IV 2016,163446,1.27510883,261550,1.184749325
sardegna,2013,I 2013,63969,1.386561179,50090,1.476796981
sardegna,2013,II 2013,88844,1.247230918,61358,1.389982557
sardegna,2013,III 2013,59454,1.152231632,75627,1.105399322
sardegna,2013,IV 2013,56668,1.470635559,82832,1.284276788
sardegna,2014,I 2014,64796,1.470197173,50519,1.587948702
sardegna,2014,II 2014,87014,1.262536274,60352,1.433641352
sardegna,2014,III 2014,64374,1.174343725,76623,1.127306164
sardegna,2014,IV 2014,57726,1.493944099,1.298173468,1.298173468
sardegna,2015,I 2015,66180,1.468675795,51700,1.586132842
sardegna,2015,II 2015,87886,1.239996614,60563,1.421499824
sardegna,2015,III 2015,63403,1.158807618,76194,1.11683743
sardegna,2015,IV 2015,58733,1.249159896,77056,1.183674096
sardegna,2016,I 2016,49078,1.212341287,33570,1.235008461
sardegna,2016,II 2016,78272,1.141057788,53148,1.239776995
sardegna,2016,III 2016,58529,1.144664789,74971,1.117735635
sardegna,2016,IV 2016,55699,1.288106196,75112,1.173349996
veneto,2013,I 2013,156381,1.232685911,125735,1.260741394
veneto,2013,II 2013,168882,1.213912968,153801,1.248323945
veneto,2013,III 2013,157446,1.169098483,163295,1.123955508
veneto,2013,IV 2013,137403,1.285473716,191066,1.209845117
veneto,2014,I 2014,161963,1.265306282,127330,1.298265648
veneto,2014,II 2014,184940,1.227092374,158814,1.278911893
veneto,2014,III 2014,158709,1.166231896,166155,1.125345416
veneto,2014,IV 2014,141616,1.310834452,199467,1.219884657
veneto,2015,I 2015,174363,1.258847737,135801,1.308874839
veneto,2015,II 2015,188167,1.205410565,160865,1.26141915
veneto,2015,III 2015,161002,1.149447772,164745,1.118325482
veneto,2015,IV 2015,159417,1.200167132,190639,1.168002304
veneto,2016,I 2016,146905,1.163825202,106163,1.182782401
veneto,2016,II 2016,166170,1.147265949,139566,1.198794042
veneto,2016,III 2016,160566,1.142160036,160080,1.118501956
veneto,2016,IV 2016,153935,1.187880051,183250,1.153204745
