anno,ass_TI,ass_TD,lic_TI,lic_TD,lic_TI__ass_TI,ass_TI__ass_TD,lic_TD__ass_TD,lic_TI__lic_TD,APPR_to_TI,TD_to_TI,nuove_ass_TI,maschi_TI,femmine_TI,maschi_TD,femmine_TD,fino24_maschi_TD,fino24_maschi_TI,da25a29_maschi_TD,da25a29_maschi_TI,da30a39_maschi_TD,da30a39_maschi_TI,da40a49_maschi_TD,da40a49_maschi_TI,oltre50_maschi_TD,oltre50_maschi_TI,fino24_femmine_TD,fino24_femmine_TI,da25a29_femmine_TD,da25a29_femmine_TI,da30a39_femmine_TD,da30a39_femmine_TI,da40a49_femmine_TD,da40a49_femmine_TI,oltre50_femmine_TD,oltre50_femmine_TI,fino24_TI,da25a29_TI,da30a39_TI,da40a49_TI,oltre50_TI,fino24_TD,da25a29_TD,da30a39_TD,da40a49_TD,oltre50_TD,fino24_TI__ass_TI,da25a29_TI__ass_TI,da30a39_TI__ass_TI,da40a49_TI__ass_TI,oltre50_TI__ass_TI
2013,1300740,3190262,1754721,2905907,1.349017482,0.407721999,0.910867822,0.603846235,69635,418509,812596,806905,493835,1827232,1363030,326660,86923,293341,109591,524410,250134,409755,209671,273066,150586,270893,62837,258879,74834,392951,151465,295213,128570,145094,76129,149760,184425,401599,338241,226715,597553,552220,917361,704968,418160,0.115134462,0.141784676,0.30874656,0.260037363,0.174296939
2014,1271398,3366226,1718415,3035721,1.351594859,0.377692407,0.901817347,0.566064866,69679,336489,865230,801709,469689,1949351,1416875,332894,80732,307761,105922,547377,244798,451363,212761,309956,157496,268382,55484,271148,69235,404087,142028,312856,124292,160402,78650,136216,175157,386826,337053,236146,601276,578909,951464,764219,470358,0.107138756,0.137767245,0.304252484,0.26510424,0.185737275
2015,2027604,3460756,1765372,3137143,0.870669026,0.585884703,0.906490663,0.562732397,85603,586257,1355744,1253175,774429,2039790,1420966,350715,147974,317521,177225,549919,372588,475279,318813,346356,236575,266566,97515,269035,127885,393442,235525,316553,195592,175370,117912,245489,305110,608113,514405,354487,617281,586556,943361,791832,521726,0.121073444,0.150478101,0.299917045,0.25370092,0.17483049
2016,1264856,3736700,1642049,3141695,1.298210231,0.338495464,0.840767255,0.522663403,81305,378805,804746,799016,465840,2183754,1552946,392245,82432,339670,105453,561253,234627,498460,210743,392126,165761,301003,54377,293712,71565,413937,136702,343070,121717,201224,81479,136809,177018,371329,332460,247240,693248,633382,975190,841530,593350,0.10816172,0.139951109,0.29357413,0.26284415,0.195468891
