Regione,ATI14,AT14,AA14,AS14,ATOT14,ATI15,AT15,AA15,AS15,ATOT15,ATI16,AT16,AA16,AS16,ATOT16,CTI14,CRT14,CA14,CRS14,CTOT14,CTI15,CRT15,CA15,CRS15,CTOT15,CTI16,CRT16,CA16,CRS16,CTOT16,RTTI14,TATI14,TTOT14,RTTI15,TATI15,TTOT15,RTTI16,TATI16,TTOT16
PIEMONTE,13.5115459,51.4934419,4.3118934,3.774569,73.0914502,26.0426849,52.1615372,3.3615348,4.0380005,85.6037575,15.7091588,57.0006762,4.3496662,4.5696812,81.6291824,22.999244,46.8362544,2.7017232,3.618826,76.1560477,23.346993,47.3722598,2.5329605,4.14468,77.3968932,22.1143415,47.5793132,2.2246714,4.3748692,76.2931952,5.6536268,1.4260284,7.0796552,10.4078073,1.7559177,12.163725,6.4383325,1.7147089,8.1530414
VALLE D'AOSTA,16.9451983,67.4463998,8.0332216,55.0582856,147.4831053,28.4182138,63.9526727,7.5605232,55.6283029,155.5597125,16.2021221,85.7934956,8.1521099,55.7610599,165.9087875,25.5616645,65.8133151,6.9211687,52.7719669,151.0681152,27.5452462,60.0554958,6.477108,56.7428954,150.8207455,26.7103331,73.6045991,5.1363005,51.1352481,156.5864807,5.2258712,1.6253081,6.8511793,10.0858938,1.8160844,11.9019782,5.4268863,1.4215143,6.8484006
LIGURIA,14.696543,63.5683905,5.5014671,8.501582,92.2679826,25.9148354,62.4874073,4.199555,8.4704815,101.0722792,16.0446529,69.2891965,4.884622,8.5503163,98.7687876,22.9895743,57.1730449,4.0365868,8.3219269,92.521133,24.9465818,57.2715967,3.5249987,8.4363748,94.179552,22.6064939,58.5467199,3.070552,8.4331974,92.6569632,5.6145367,1.4391255,7.0536622,9.4513672,1.644073,11.0954402,5.7840187,1.5308204,7.3148392
LOMBARDIA,23.9285571,69.8708775,4.25141,4.0691251,102.1199698,39.3190181,75.1115583,3.2738439,4.344164,122.0485843,26.4509161,76.4671576,4.0919836,4.1639235,111.1739808,34.5734758,60.802152,2.4439015,3.9430898,101.7626191,35.8734191,66.7561433,2.4198672,4.3866529,109.4360825,33.2559346,62.7389193,2.0879568,4.0771959,102.1600066,7.9140538,1.338561,9.2526147,13.5818483,1.7193504,15.3011987,8.7185209,1.6704054,10.3889263
TRENTINO ALTO-ADIGE,15.326962,60.2371416,5.6547265,71.3096041,152.5284341,26.3588245,61.7166802,4.9692479,72.4870033,165.5317558,17.5448535,71.2586181,5.7500892,74.5443833,169.0979441,26.117113,52.9385883,3.7342533,70.2058513,152.9958059,28.0687443,54.0328992,3.5576907,71.7241015,157.3834356,27.5985399,58.0324686,3.4632721,71.5730318,160.6673125,8.1228272,1.5607385,9.6835657,13.305461,1.6051152,14.9105762,9.1661521,1.6513803,10.8175324
VENETO,16.5916419,56.4029359,5.5699236,13.6859125,92.250414,29.7508156,59.4742345,4.8195915,14.4076341,108.4522757,18.7897638,67.2556923,6.0439993,13.8204069,105.9098623,28.7075756,48.7310471,3.4746565,13.383689,94.2969681,30.0600942,52.2575309,3.2740103,14.315297,99.9069323,27.9805816,53.749011,3.1665535,13.5866386,98.4827847,7.1894273,1.9219301,9.1113575,12.6980783,2.4679377,15.166016,8.7869622,2.1863135,10.9732757
FRIULI-VENEZIA-GIULIA,11.06508,54.8706932,3.7881407,7.251723,76.975637,25.0708569,56.8354247,2.8293845,8.0228372,92.7585032,14.7614922,63.0673639,3.7225131,7.8610043,89.4123735,23.3153267,48.4519218,2.407751,7.2639245,81.4389241,24.2812043,50.8392809,2.2035299,7.9364562,85.2604712,23.3832125,51.4068741,2.0512308,7.7488213,84.5901387,6.7563445,1.134734,7.8910786,11.2352317,1.2965296,12.5317613,8.0968345,1.4256259,9.5224604
EMILIA-ROMAGNA,16.8173744,65.7309337,5.5314984,18.3455928,106.4253993,30.496968,65.5873442,4.5491436,18.1120897,118.7455455,19.3141142,75.9350075,5.5456813,16.3108405,117.1056436,27.5400924,58.3574767,3.6872908,18.1778149,107.7626748,29.1847582,58.3043554,3.363661,17.9494116,108.8021862,27.5485562,61.7380814,3.0084444,16.1586423,108.4537243,7.2603306,1.5489095,8.8092401,13.436219,2.0226904,15.4589094,8.5147835,1.9938644,10.5086479
TOSCANA,22.4145456,60.0254205,5.4285936,11.0587597,98.9273195,34.9560604,58.8740662,4.3662432,11.386075,109.5824449,22.5090922,64.2298174,5.4211652,10.3573392,102.517414,28.9717854,53.8665265,3.6874975,11.0160989,97.5419083,30.7249216,53.3361189,3.3864033,11.3138595,98.7613033,28.0055699,53.578172,3.0605721,10.1519657,94.7962797,6.1570277,1.6376435,7.7946712,10.9138759,1.8197787,12.7336546,7.3050461,1.7401996,9.0452457
UMBRIA,13.295909,45.6597327,5.2188924,3.31645,67.490984,26.7143665,44.9337366,4.2089405,3.9407127,79.7977563,14.4471213,50.3657506,5.3120522,3.2182015,73.3431256,24.0905411,41.2537831,3.5985824,3.625346,72.5682526,23.1737602,40.5225077,3.1874398,4.0837675,70.9674751,20.9014779,42.1496868,2.7637483,2.8692263,68.6841394,5.1698259,1.8600668,7.0298927,9.1018617,2.2207023,11.322564,5.4197744,1.9838843,7.4036587
