Regione,ATI14,AT14,AA14,AS14,ATOT14,ATI15,AT15,AA15,AS15,ATOT15,ATI16,AT16,AA16,AS16,ATOT16,CTI14,CRT14,CA14,CRS14,CTOT14,CTI15,CRT15,CA15,CRS15,CTOT15,CTI16,CRT16,CA16,CRS16,CTOT16,RTTI14,TATI14,TTOT14,RTTI15,TATI15,TTOT15,RTTI16,TATI16,TTOT16
PIEMONTE,0.0135115459,0.0514934419,0.0043118934,0.003774569,0.0730914502,0.0260426849,0.0521615372,0.0033615348,0.0040380005,0.0856037575,0.0157091588,0.0570006762,0.0043496662,0.0045696812,0.0816291824,0.022999244,0.0468362544,0.0027017232,0.003618826,0.0761560477,0.023346993,0.0473722598,0.0025329605,0.00414468,0.0773968932,0.0221143415,0.0475793132,0.0022246714,0.0043748692,0.0762931952,0.0056536268,0.0014260284,0.0070796552,0.0104078073,0.0017559177,0.012163725,0.0064383325,0.0017147089,0.0081530414
VALLE D'AOSTA,0.0169451983,0.0674463998,0.0080332216,0.0550582856,0.1474831053,0.0284182138,0.0639526727,0.0075605232,0.0556283029,0.1555597125,0.0162021221,0.0857934956,0.0081521099,0.0557610599,0.1659087875,0.0255616645,0.0658133151,0.0069211687,0.0527719669,0.1510681152,0.0275452462,0.0600554958,0.006477108,0.0567428954,0.1508207455,0.0267103331,0.0736045991,0.0051363005,0.0511352481,0.1565864807,0.0052258712,0.0016253081,0.0068511793,0.0100858938,0.0018160844,0.0119019782,0.0054268863,0.0014215143,0.0068484006
LIGURIA,0.014696543,0.0635683905,0.0055014671,0.008501582,0.0922679826,0.0259148354,0.0624874073,0.004199555,0.0084704815,0.1010722792,0.0160446529,0.0692891965,0.004884622,0.0085503163,0.0987687876,0.0229895743,0.0571730449,0.0040365868,0.0083219269,0.092521133,0.0249465818,0.0572715967,0.0035249987,0.0084363748,0.094179552,0.0226064939,0.0585467199,0.003070552,0.0084331974,0.0926569632,0.0056145367,0.0014391255,0.0070536622,0.0094513672,0.001644073,0.0110954402,0.0057840187,0.0015308204,0.0073148392
LOMBARDIA,0.0239285571,0.0698708775,0.00425141,0.0040691251,0.1021199698,0.0393190181,0.0751115583,0.0032738439,0.004344164,0.1220485843,0.0264509161,0.0764671576,0.0040919836,0.0041639235,0.1111739808,0.0345734758,0.060802152,0.0024439015,0.0039430898,0.1017626191,0.0358734191,0.0667561433,0.0024198672,0.0043866529,0.1094360825,0.0332559346,0.0627389193,0.0020879568,0.0040771959,0.1021600066,0.0079140538,0.001338561,0.0092526147,0.0135818483,0.0017193504,0.0153011987,0.0087185209,0.0016704054,0.0103889263
TRENTINO ALTO-ADIGE,0.015326962,0.0602371416,0.0056547265,0.0713096041,0.1525284341,0.0263588245,0.0617166802,0.0049692479,0.0724870033,0.1655317558,0.0175448535,0.0712586181,0.0057500892,0.0745443833,0.1690979441,0.026117113,0.0529385883,0.0037342533,0.0702058513,0.1529958059,0.0280687443,0.0540328992,0.0035576907,0.0717241015,0.1573834356,0.0275985399,0.0580324686,0.0034632721,0.0715730318,0.1606673125,0.0081228272,0.0015607385,0.0096835657,0.013305461,0.0016051152,0.0149105762,0.0091661521,0.0016513803,0.0108175324
VENETO,0.0165916419,0.0564029359,0.0055699236,0.0136859125,0.092250414,0.0297508156,0.0594742345,0.0048195915,0.0144076341,0.1084522757,0.0187897638,0.0672556923,0.0060439993,0.0138204069,0.1059098623,0.0287075756,0.0487310471,0.0034746565,0.013383689,0.0942969681,0.0300600942,0.0522575309,0.0032740103,0.014315297,0.0999069323,0.0279805816,0.053749011,0.0031665535,0.0135866386,0.0984827847,0.0071894273,0.0019219301,0.0091113575,0.0126980783,0.0024679377,0.015166016,0.0087869622,0.0021863135,0.0109732757
FRIULI-VENEZIA-GIULIA,0.01106508,0.0548706932,0.0037881407,0.007251723,0.076975637,0.0250708569,0.0568354247,0.0028293845,0.0080228372,0.0927585032,0.0147614922,0.0630673639,0.0037225131,0.0078610043,0.0894123735,0.0233153267,0.0484519218,0.002407751,0.0072639245,0.0814389241,0.0242812043,0.0508392809,0.0022035299,0.0079364562,0.0852604712,0.0233832125,0.0514068741,0.0020512308,0.0077488213,0.0845901387,0.0067563445,0.001134734,0.0078910786,0.0112352317,0.0012965296,0.0125317613,0.0080968345,0.0014256259,0.0095224604
EMILIA-ROMAGNA,0.0168173744,0.0657309337,0.0055314984,0.0183455928,0.1064253993,0.030496968,0.0655873442,0.0045491436,0.0181120897,0.1187455455,0.0193141142,0.0759350075,0.0055456813,0.0163108405,0.1171056436,0.0275400924,0.0583574767,0.0036872908,0.0181778149,0.1077626748,0.0291847582,0.0583043554,0.003363661,0.0179494116,0.1088021862,0.0275485562,0.0617380814,0.0030084444,0.0161586423,0.1084537243,0.0072603306,0.0015489095,0.0088092401,0.013436219,0.0020226904,0.0154589094,0.0085147835,0.0019938644,0.0105086479
TOSCANA,0.0224145456,0.0600254205,0.0054285936,0.0110587597,0.0989273195,0.0349560604,0.0588740662,0.0043662432,0.011386075,0.1095824449,0.0225090922,0.0642298174,0.0054211652,0.0103573392,0.102517414,0.0289717854,0.0538665265,0.0036874975,0.0110160989,0.0975419083,0.0307249216,0.0533361189,0.0033864033,0.0113138595,0.0987613033,0.0280055699,0.053578172,0.0030605721,0.0101519657,0.0947962797,0.0061570277,0.0016376435,0.0077946712,0.0109138759,0.0018197787,0.0127336546,0.0073050461,0.0017401996,0.0090452457
UMBRIA,0.013295909,0.0456597327,0.0052188924,0.00331645,0.067490984,0.0267143665,0.0449337366,0.0042089405,0.0039407127,0.0797977563,0.0144471213,0.0503657506,0.0053120522,0.0032182015,0.0733431256,0.0240905411,0.0412537831,0.0035985824,0.003625346,0.0725682526,0.0231737602,0.0405225077,0.0031874398,0.0040837675,0.0709674751,0.0209014779,0.0421496868,0.0027637483,0.0028692263,0.0686841394,0.0051698259,0.0018600668,0.0070298927,0.0091018617,0.0022207023,0.011322564,0.0054197744,0.0019838843,0.0074036587
MARCHE,0.0146426139,0.0638552402,0.0057071554,0.0097557332,0.0939607427,0.0277547788,0.0618701622,0.0046498701,0.0100780502,0.1043528614,0.0156767408,0.0681935959,0.0055235556,0.0098144002,0.0992082925,0.0273504351,0.0583818051,0.0039674517,0.0098902995,0.0995899914,0.0267617404,0.0565045306,0.0035775176,0.0100064741,0.0968502627,0.0235892812,0.0566833274,0.0030497126,0.0096582871,0.0929806083,0.0060992648,0.0019096822,0.008008947,0.0111510476,0.0021008566,0.0132519042,0.0069914079,0.0019588639,0.0089502718
LAZIO,0.0229183414,0.069997007,0.0043257324,0.0062378512,0.103478932,0.0421296834,0.0746583962,0.0030321981,0.0079997624,0.1278200401,0.0240318711,0.0770006209,0.0040361914,0.0052018588,0.1102705422,0.029373382,0.0642403795,0.0028982441,0.00607909,0.1025910956,0.0306201606,0.0699185819,0.0027229876,0.0080886901,0.1113504202,0.0295407705,0.0672245703,0.0022685002,0.0050395077,0.1040733487,0.0058188034,0.0011363692,0.0069551726,0.0105705206,0.0015100744,0.012080595,0.0062027976,0.0014851051,0.0076879027
ABRUZZO,0.0264157506,0.0692340504,0.0028059754,0.0092088169,0.1076645934,0.0381563473,0.0695207326,0.0019135249,0.0094039085,0.1189945133,0.0218324283,0.0764108607,0.0026882511,0.0080745534,0.1090060934,0.0347669571,0.0638994737,0.0020480697,0.0092215611,0.1099360615,0.031882569,0.0649419409,0.0018624575,0.0091688483,0.1078558157,0.0282251286,0.0664034201,0.0014737888,0.0080428914,0.1041452289,0.0048660396,0.0007938894,0.005659929,0.0087175027,0.0009747862,0.009692289,0.0056260285,0.0008315033,0.0064575319
MOLISE,0.0232933513,0.0386972754,0.0012709508,0.0022050997,0.0654666773,0.0322197684,0.0357876865,0.0008425138,0.0026679602,0.0715179289,0.0183029033,0.0400542261,0.0013460374,0.0027273281,0.0624304948,0.0291111288,0.0344967829,0.0010580666,0.0022527603,0.0669187386,0.027231704,0.0332314232,0.0007563476,0.0025307326,0.0637502074,0.0228345624,0.0331477725,0.0007146817,0.0027016893,0.0593987059,0.0035554849,0.00038764,0.003943125,0.0054029386,0.0004180655,0.0058210041,0.0038201822,0.0003525336,0.0041727158
CAMPANIA,0.0282408839,0.0371535435,0.0017458366,0.0082664888,0.0754067529,0.039666442,0.0381681981,0.0012778236,0.0087543711,0.0878668347,0.0245557483,0.0418453729,0.0021253322,0.0085490142,0.0770754677,0.0292265797,0.0350990168,0.0013030742,0.0084673418,0.0740960125,0.030629892,0.0348489276,0.0011566948,0.0087678488,0.0754033632,0.0283863028,0.0363236111,0.0010542058,0.0085141475,0.0742782673,0.0032506156,0.0003671231,0.0036177388,0.005526715,0.0004788853,0.0060056002,0.0035811891,0.0004759992,0.0040571883
PUGLIA,0.0237033484,0.0486205543,0.0021526717,0.0071203193,0.0815968937,0.0315930765,0.0467547899,0.0015442146,0.007562642,0.087454723,0.019450275,0.0511239915,0.0025287173,0.0072768683,0.0803798521,0.027049341,0.0453151458,0.0016003849,0.0073027035,0.0812675753,0.0267905103,0.0432519459,0.0014271027,0.0072939448,0.0787635036,0.02430708,0.0445861169,0.0013087522,0.0072140796,0.0774160287,0.0038452267,0.0006696386,0.0045148653,0.0061414071,0.0007378784,0.0068792855,0.0041057931,0.0006946001,0.0048003932
BASILICATA,0.0228495948,0.0492901861,0.0018586043,0.0059008525,0.0798992377,0.0339114736,0.0606709109,0.001345776,0.0071277568,0.1030559173,0.0205841442,0.0621760032,0.0023723448,0.0060223743,0.0911548665,0.0257645779,0.0458599805,0.0014021657,0.0057625378,0.0787892619,0.0254587518,0.0569336078,0.0012885458,0.0068589485,0.0905398539,0.0248372826,0.0557126273,0.0011277789,0.0060206312,0.08769832,0.0040076696,0.000499662,0.0045073315,0.0061739207,0.0005913784,0.0067652991,0.004010849,0.0005943935,0.0046052425
CALABRIA,0.0191019286,0.0260298617,0.0017389258,0.0062372099,0.053107926,0.0261131187,0.0255439685,0.0012354354,0.0065004546,0.0593929772,0.0165098469,0.0289223002,0.0019142146,0.0064871169,0.0538334786,0.0215845936,0.0245075442,0.0015101995,0.0062447836,0.053847121,0.0215457513,0.023647307,0.0013017098,0.0064508753,0.0529456434,0.0206371817,0.0255125421,0.0010997092,0.0064318015,0.0536812346,0.0019964323,0.0004175644,0.0024139966,0.0034245137,0.0005291832,0.003953697,0.0021420731,0.0004623143,0.0026043874
SICILIA,0.0240075589,0.0343007185,0.0017968819,0.0044968171,0.0646019764,0.0292026048,0.034281276,0.0013672213,0.0045753405,0.0694264426,0.0193762205,0.0374758019,0.0025146519,0.0046381138,0.0640047881,0.0258266196,0.0326276851,0.0015158185,0.0044956395,0.0644657628,0.0252676706,0.031744788,0.0012737428,0.004566896,0.0628530974,0.0237413882,0.0332140976,0.0012573259,0.0045123812,0.0627251929,0.0023346707,0.0005179652,0.0028526359,0.0034793248,0.000553212,0.0040325368,0.0025741679,0.0004989889,0.0030731569
SARDEGNA,0.0166600655,0.0456937757,0.0011521409,0.0186554269,0.0821614091,0.025942622,0.0448557855,0.0008074378,0.0198829305,0.0914887758,0.0147961147,0.0510988832,0.0010554007,0.0209186449,0.0878690435,0.0227344985,0.0422710097,0.0008480286,0.0182509455,0.0841044824,0.0222318952,0.0411270221,0.0006607402,0.0194873281,0.0835069856,0.0207395283,0.0445361001,0.0005572516,0.0204789951,0.0863118751,0.0036451406,0.0004669867,0.0041121273,0.005995361,0.0005200549,0.0065154159,0.0042457262,0.000399243,0.0046449692
ITALIA,0.020897059,0.0553627393,0.0038183747,0.0093438972,0.0894220701,0.0333284415,0.0569071169,0.0029827646,0.0098368941,0.1030552172,0.0208318227,0.0615790335,0.0039154841,0.0093052316,0.0956315719,0.0282470819,0.0499288712,0.0025424188,0.0092565367,0.0899749086,0.029009791,0.0515831143,0.0023486399,0.0097848016,0.0927263468,0.0270398929,0.0517716059,0.0020947803,0.0091095192,0.0900157983,0.0055319553,0.0011456391,0.0066775943,0.0096375541,0.0014072068,0.0110447609,0.0062395378,0.0013399697,0.0075795075
